77.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77.74;77.74
78.5712;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;78.16;78.16
77.8599;0.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;54.0;78.06;78.06
79.0427;100.0;62.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;78.3;78.3
79.9778;100.0;100.0;75.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;81.0;78.64;78.64
79.0347;0.0;50.0;69.0;56.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;64.0;78.7;78.7
78.8429;0.0;0.0;45.0;65.0;53.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;62.0;78.72;78.72
79.3943;100.0;74.0;33.0;57.0;70.0;59.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;78.81;78.81
80.5772;100.0;100.0;90.0;60.0;70.0;77.0;68.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;72.0;79.0;79.0
79.9378;0.0;65.0;73.0;68.0;49.0;60.0;68.0;61.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;65.0;79.1;79.1
79.4823;0.0;0.0;52.0;61.0;57.0;44.0;54.0;63.0;57.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0;79.13;79.13
76.8608;0.0;0.0;0.0;24.0;32.0;31.0;26.0;35.0;44.0;41.0;46.0;46.0;46.0;46.0;46.0;46.0;46.0;46.0;46.0;46.0;78.94;78.94
77.6121;100.0;22.0;20.0;17.0;34.0;40.0;39.0;34.0;41.0;49.0;45.0;49.0;49.0;49.0;49.0;49.0;49.0;49.0;49.0;49.0;78.84;78.84
77.5881;0.0;97.0;22.0;20.0;17.0;34.0;40.0;39.0;34.0;41.0;49.0;45.0;49.0;49.0;49.0;49.0;49.0;49.0;49.0;49.0;78.75;78.75
77.8439;100.0;91.0;98.0;28.0;25.0;21.0;37.0;42.0;41.0;36.0;43.0;50.0;47.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;78.69;78.69
77.9318;100.0;100.0;93.0;98.0;29.0;26.0;23.0;38.0;43.0;42.0;37.0;44.0;50.0;47.0;51.0;51.0;51.0;51.0;51.0;51.0;78.64;78.64
77.8838;0.0;65.0;88.0;83.0;94.0;29.0;26.0;22.0;38.0;43.0;42.0;36.0;43.0;50.0;47.0;51.0;51.0;51.0;51.0;51.0;78.6;78.6
78.755;100.0;95.0;95.0;96.0;94.0;96.0;42.0;38.0;34.0;45.0;49.0;48.0;43.0;48.0;54.0;51.0;54.0;54.0;54.0;54.0;78.61;78.61
79.4183;100.0;100.0;97.0;97.0;98.0;96.0;97.0;49.0;46.0;41.0;50.0;54.0;52.0;47.0;52.0;57.0;53.0;56.0;56.0;56.0;78.65;78.65
79.2425;0.0;79.0;90.0;87.0;88.0;89.0;88.0;91.0;48.0;44.0;40.0;49.0;52.0;51.0;46.0;51.0;56.0;53.0;56.0;56.0;78.68;78.68
79.1226;0.0;0.0;69.0;84.0;82.0;83.0;85.0;84.0;88.0;47.0;43.0;39.0;48.0;52.0;51.0;46.0;50.0;55.0;52.0;55.0;78.7;78.7
79.2585;100.0;53.0;31.0;73.0;85.0;83.0;84.0;85.0;85.0;88.0;48.0;45.0;40.0;49.0;52.0;51.0;46.0;51.0;56.0;53.0;78.73;78.73
80.2255;100.0;100.0;90.0;79.0;86.0;90.0;88.0;89.0;90.0;89.0;91.0;56.0;52.0;48.0;55.0;57.0;56.0;51.0;55.0;59.0;78.79;78.79
79.802;0.0;70.0;72.0;67.0;61.0;71.0;79.0;77.0;78.0;80.0;79.0;83.0;52.0;49.0;45.0;52.0;55.0;54.0;49.0;53.0;78.83;78.83
79.7939;0.0;0.0;69.0;72.0;67.0;60.0;71.0;78.0;77.0;78.0;79.0;79.0;82.0;52.0;49.0;45.0;52.0;55.0;54.0;49.0;78.87;78.87
79.8581;100.0;89.0;13.0;70.0;73.0;68.0;62.0;72.0;79.0;78.0;78.0;80.0;79.0;83.0;53.0;49.0;46.0;52.0;55.0;54.0;78.91;78.91
79.0003;0.0;7.0;7.0;5.0;44.0;48.0;45.0;42.0;54.0;63.0;62.0;63.0;65.0;65.0;70.0;47.0;45.0;41.0;48.0;51.0;78.91;78.91
79.0244;100.0;3.0;9.0;9.0;6.0;45.0;48.0;46.0;43.0;54.0;63.0;63.0;63.0;65.0;65.0;70.0;47.0;45.0;42.0;48.0;78.92;78.92
78.7919;0.0;9.0;2.0;7.0;7.0;5.0;41.0;44.0;42.0;40.0;51.0;60.0;59.0;60.0;62.0;62.0;67.0;46.0;43.0;41.0;78.91;78.91
79.5214;100.0;76.0;76.0;41.0;43.0;43.0;35.0;54.0;56.0;54.0;51.0;59.0;66.0;65.0;66.0;67.0;67.0;71.0;50.0;48.0;78.93;78.93
79.2969;0.0;76.0;61.0;62.0;36.0;38.0;38.0;32.0;51.0;52.0;51.0;48.0;56.0;63.0;62.0;63.0;65.0;64.0;68.0;49.0;78.94;78.94
79.353;100.0;20.0;78.0;63.0;64.0;38.0;40.0;40.0;33.0;51.0;53.0;51.0;49.0;56.0;63.0;63.0;63.0;65.0;65.0;69.0;78.96;78.96
79.6416;100.0;100.0;61.0;83.0;70.0;71.0;46.0;47.0;47.0;40.0;55.0;56.0;55.0;53.0;59.0;65.0;65.0;65.0;66.0;66.0;78.98;78.98
